red_mean,green_mean,blue_mean
137.1104,126.0676,110.1912
137.1104,126.0676,110.1912
140.3676,128.8928,113.0206
140.3676,128.8928,113.0206
140.1755,128.1846,112.1386
140.1755,128.1846,112.1386
137.7653,125.6365,109.6733
137.7653,125.6365,109.6733
137.484,125.5466,109.5595
137.484,125.5466,109.5595
138.0027,126.0546,110.1717
138.0027,126.0546,110.1717
136.3712,124.6411,108.9381
136.3712,124.6411,108.9381
135.4651,123.5005,107.9848
135.4651,123.5005,107.9848
134.4117,122.3625,106.6637
134.4117,122.3625,106.6637
132.9305,120.894,105.2313
132.9305,120.894,105.2313
131.6536,119.7287,104.0564
131.6536,119.7287,104.0564
130.8356,118.9161,103.419
130.8356,118.9161,103.419
131.1613,119.1963,103.2319
131.1613,119.1963,103.2319
128.6789,116.5123,100.7922
128.6789,116.5123,100.7922
127.9001,115.4956,99.6254
127.9001,115.4956,99.6254
127.4488,115.0493,99.399
127.4488,115.0493,99.399
128.0683,115.7653,100.2195
128.0683,115.7653,100.2195
128.805,116.8072,101.2257
128.805,116.8072,101.2257
128.1802,116.2269,100.9423
128.1802,116.2269,100.9423
128.0742,116.1305,100.9938
128.0742,116.1305,100.9938
132.8179,120.9555,105.4044
132.8179,120.9555,105.4044
134.6184,122.8296,107.5458
134.6184,122.8296,107.5458
131.8182,119.8442,105.1968
131.8182,119.8442,105.1968
132.3966,120.4623,105.5231
132.3966,120.4623,105.5231
135.11,123.2852,108.0912
135.11,123.2852,108.0912
135.0247,122.8058,107.3791
135.0247,122.8058,107.3791
133.8222,121.5081,106.2499
133.8222,121.5081,106.2499
133.9993,121.9438,107.2652
133.9993,121.9438,107.2652
133.456,121.5381,107.0272
133.456,121.5381,107.0272
132.5284,120.6976,106.2283
132.5284,120.6976,106.2283
131.1357,119.3747,105.0423
131.1357,119.3747,105.0423
130.293,118.3998,104.2577
130.293,118.3998,104.2577
131.4534,119.6332,105.3288
131.4534,119.6332,105.3288
131.3097,119.4526,104.9612
131.3097,119.4526,104.9612
130.2861,118.4639,104.0393
130.2861,118.4639,104.0393
128.9276,116.5883,101.7549
128.9276,116.5883,101.7549
127.3226,115.0348,99.8926
127.3226,115.0348,99.8926
133.5093,121.7257,106.2416
133.5093,121.7257,106.2416
132.0924,120.3815,105.2777
132.0924,120.3815,105.2777
129.0822,117.3884,102.5228
129.0822,117.3884,102.5228
130.6734,118.6896,103.1362
130.6734,118.6896,103.1362
131.2846,119.1623,103.2368
131.2846,119.1623,103.2368
131.5294,119.32,103.4633
131.5294,119.32,103.4633
132.218,119.5582,103.4377
132.218,119.5582,103.4377
130.5572,117.7801,101.4303
130.5572,117.7801,101.4303
129.1598,117.0992,101.5715
129.1598,117.0992,101.5715
129.5489,117.6688,102.1631
129.5489,117.6688,102.1631
132.1606,120.1413,104.4417
132.1606,120.1413,104.4417
132.0949,120.2926,104.8592
132.0949,120.2926,104.8592
131.7416,119.8866,104.3835
131.7416,119.8866,104.3835
128.8688,117.0992,101.6511
128.8688,117.0992,101.6511
128.1788,116.1273,100.8314
128.1788,116.1273,100.8314
127.8996,116.2086,101.0893
127.8996,116.2086,101.0893
129.8828,118.3048,102.8542
129.8828,118.3048,102.8542
